Name,Other Names,Owner,Operator,Vessel Categor,Vessel Description,Vessel Classification,Maximum Endurance,Heli Deck,Maximum Working Depth,Flag,Construction Country,Construction Location,Year Built,Year Last Converted,Date of Delivery,Main Characteristics,Breadth,Minimum Draft,Maximum Draft,Passengers
KAI YO (開洋 ),,Nippon Salvage Co.| Ltd. (日本サルヴェージ株式会社 ),Nippon Salvage Co.| Ltd. (日本サルヴェージ株式会社 ),Cable Installation,Cable lay barge,NK,,No,,Japan,CN,Qingdao| China,,,,80 m,26 m,,2 m,,
Kaisei (海成),,ENKAI (沿海開発工業株式会社),ENKAI (沿海開発工業株式会社),Cable Installation,Cable lay barge,,,No,,Japan,JN,,2008,,2008,60 m,20 m,,2.2 m,,
KDDI Pacific Link,,Kokusai Cable Ship Co Ltd,Kokusai Cable Ship Co Ltd,Cable Installation,Cable laying vessel,NKK NS*(CL)(Class ID IS) MNS*(M0) CHG| MPP| LSA| CAA| RCF| M0.B| AFS ,50 days,Yes,,,SG,Singapore Dockland,1993,1998,28-Jan-1993,109.5 m,20.5 m,7.5 m,9 m,,
Kokusai (KDD1 3 tbn),,Kokusai Cable Ship Co Ltd,Kokusai Cable Ship Co Ltd,Cable Installation,Cable laying vessel,,,No,,,SG,Colombo Dockyard,2019,,2019,113 m,21.5 m,,,,
Lewek Connector,AMC Connector,Ocean Yield,Ocean Yield,Cable Installation,Multi purpose,DNV GL ✠ 1A1 E0 DYNPOS-AUTRO (IMO III)| SF| DK (+)| CRANE HELDK-SH| ICE C| CLEAN DESIGN,,Yes,3000 m,Norway,NO,STX Europe| Sovikes,2011,2011,2011,156.9 m,32 m,6.5 m,8.7 m,,
Living Stone,,Deme NV,Tideway B.V,Cable Installation,Cable laying vessel,DNV GL 1A1 Offshore Service Vessel BIS (E)| Dynpos-Autro Naut-OSV(A) LCS| Helidk-sh| Clean design| BMW-t| Dk(+) Comf-V(3)C(3)| SPS Gas fuelled,,Yes,,Netherlands,ES,La Naval - (CONSTRUCCIONES NAVALES DEL NORTE| S.L),2017,,31-May-2017,161 m,32 m,,6.5 m,,
Maersk Connector,,Maersk Supply Services,DeepOcean 1 UK Ltd,Cable Installation,Cable laying vessel,LR ✠ 100A1| Cable Laying Ship +LMC| UMS| D.P. (A.A),,Yes,,Denmark,RO,Damen Shipyards Galati,2015,,04-Feb-2016,138.35 m,27.45 m,4 m,6.25 m,,
MPSV Ievoli Ivory,,Marnavi S.p.A.,Marnavi S.p.A.,Cable Installation,Cable laying vessel,ABS  ✠ A1 DSV Capable| FFV 1| Offshore Support Vessel| ROV Capable  (E)| ✠ AMS| ✠ ACCU| ✠ DPS-2,,Yes,,Italy,TK,Selah Shipyard,2015,,03-Aug-2015,90.83 m,19 m,,6.05 m,,
MV Aura,,Meriaura OY,NSW| Hans Schramm & Sohn GmbH & Co. KG and Tiefbau-GmbH "Unterweser" (TAGU),Cable Installation,Multi purpose,BV I ✠ Hull| ✠ Mach| ✠ AUT-UMS (SS) | ICE CLASS IA Deck ship - Equipped for carriage of containers ; Finnish Ice class 1A,,No,,Finland,PO,Gdanska Stocznia,2006,2012,Oct-2006,101.8 m,25 m,,4.901 m,,
MV Elektron,,Statnett Transport AS,Simon Møkster Shipping AS,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 ICE-C General Cargo Carrier RO/RO E0 DYNPOS-AUTR CLEAN,,No,,Norway,NO,Flekkefjord Slipp og Maskinfabrikk (FSM),2007,,May-2008,87.35 m,18 m,,2.2 m,22 persons,
MV Volantis,,Volstad Maritime AS,DeepOcean 1 UK Ltd,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 Clean COMF(C-3| V-3) DYNPOS(AUTR) E0 HELDK(S| H) SF,,Yes,,Panama,SE,Fosen Yard AS,2007,,14-Mar-2008,106.6 m,22 m,,7.3 m,,
Ndeavor,,SMIT,VBMS BV,Cable Installation,Multi purpose,LR ✠ 100 A1| LR Mach Class| UMS| DPS,,Yes,,Cyprus,CN,Samsung,2013,,Nov-2013,99 m,30 m,4.8 m,7.5 m,,
Ndurance,,Royal Boskalis Westminister N.V.,VBMS BV,Cable Installation,Cable laying vessel,LR ✠ 100 A1 Machinery Class: ✠ LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces) | DPS (Dynamic Positioning): Automatic ,,No,,Cyprus,CN,Samsung C&T Corporation ZPMC,2013,,Dec-2013,99 m,30 m,,4.8 m,,
Nessie II,,CHRISTOFFERS Onshore and Subsea GmbH,CHRISTOFFERS Onshore and Subsea GmbH,Cable Installation,Other,,,No,10 m,,,,2008,,2008,,,,,,
Nessie III,,CHRISTOFFERS Onshore and Subsea GmbH,CHRISTOFFERS Onshore and Subsea GmbH,Cable Installation,Other,,,No,,United Kingdom,,,2008,,2008,30 m,10 m,,,,
Nessie IV,,CHRISTOFFERS Onshore and Subsea GmbH,CHRISTOFFERS Onshore and Subsea GmbH,Cable Installation,Other,,,No,8 m,,,,2009,,2009,,,,,,
Nessie V,,CHRISTOFFERS Onshore and Subsea GmbH,CHRISTOFFERS Onshore and Subsea GmbH,Cable Installation,Other,,,No,,Germany,,,2011,,2001,19 m,10 m,,,,
Nexans Skagerrak,,Nexans,Nexans,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 Cable Laying Vessel (E) DYNPOS-AUTR SF,,No,,Norway,NO,Ogrey Mek Versted,1976,2016,1976,118.25 m,32.15 m,5.4 m,6.25 m,,
Nexans tbc,,Nexans,Nexans,Cable Installation,Cable laying vessel,,,,,,HR,Uljanik Shipyard,2020,,Sep-2020,149.9 m,31 m,,,,
Nexus,Van Oord 2,Van Oord NV,Van Oord NV,Cable Installation,Cable laying vessel,LR ✠ 100 A1 Offshore Supply Ship *I.W.S.| ECO (A| BWT| GW| IHM| OW| P)| WDL (20T/m2| Aft to Fr 112) LMC| UMS| DP (AA). CAC1,,No,,Netherlands,RO,Damen Shipyard Galati,2014,,Mar-2015,122.68 m,27.45 m,,5.82 m,,
NKT Victoria,SALT 306 CLV,nkt cables Group A/S,nkt cables Group A/S,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 Cable laying vessel SPS BIS Clean(Design) COMF(C-3| V-3) DK(+) DYNPOS(AUTRO) E0 HELDK(S| H) NAUT(OSV(A)) Recyclable SF,30 days,Yes,1000 m,Norway,NO,Kleven Shipyard,2017,,06-Apr-2017,140 m,29.6 m,,7.2 m,,
Nordica,,Arctia Shipping OY,Arctia Shipping OY,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 POLAR10 Icebreaker Tug Supply Vessel SF HELDK EPR EØ DYNPOS-AUTR,67 days,Yes,,Finland,FI,Finnyards,1994,,1994,116 m,26 m,,8.4 m,54 persons,
Normand Pacific,,Solstad Offshore AS,Solstad Offshore AS,Cable Installation,ROV Support,DNV GL ✠ 1A1 Clean(Design) COMF(C-3| V-3) Crane DK(+) DYNPOS(AUTRO) E0 HELDK(S| H) Ice(C) NAUT(OSV(A)),,Yes,,Norway,NO,Bergen Group,2010,,02-Nov-2010,122.4 m,23 m,,7.325 m,,
Normand Pioneer,,Solstad Offshore AS,Solstad Offshore AS,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 ICE-C Tug Supply Vessel SF HELDK E0 DYNPOS-AUTR LCS-SID DK(+),,Yes,,United Kingdom,NO,Ulstein Verft AS,1999,,12-Feb-1999,95 m,24 m,,8.23 m,,
Nostag 10,,Nostag GmbH & Co. KG,NSW| Hans Schramm & Sohn GmbH & Co. KG and Tiefbau-GmbH "Unterweser" (TAGU),Cable Installation,Cable lay barge,DNV GL ✠ 100 A5 Barge Sea Barge with accommodation not self propelled,56 days,No,35 m,Germany,CN,Taizhou Sanfu Ship Engineering,2008,2010,2008,91.5 m,27.5 m,,3.83 m,,
NP 289,Stemat 89,Stemat Marine Services BV,VBMS BV,Cable Installation,Cable lay barge,BV I ✠ Hull ✠ Mach ✠ Unrestricted navigation,,No,,Netherlands,NL,Neptune Marine Service BV,2011,2012,07-Feb-2011,80 m,24 m,1.95 m,3.89 m,,
Ocean 11 #（海洋 11 号）,Hai Yang 11#,Nantong Ocean Water Construction Co. Ltd (南通市海洋水建工程有限公司 ),Nantong Ocean Water Construction Co. Ltd (南通市海洋水建工程有限公司 ),Cable Installation,Cable lay barge,,,No,,China,CN,JIANGSU HANTONG SHIP HEAVY INDUSTRY CO.|LTD.,Tongzhou City| Jiangsu,2010,,2010,60 m,16 m,,,,
Olympic Commander,,Olympic Shipping AS,Olympic Shipping AS,Cable Installation,Multi purpose,DNV GL ✠ 1A1| E0| SF| Dynpos AUTR| CLEAN DE-SIGN| COMF-V (rating3)| DK(+)| l(2|5)|LFL*|NAUT OSV (A)| Ice C| SPS| Oil Recovery acc. to DNV and NOFO 2009 guidelines,,No,3000 m,Norway,NO,Kleven Maritime AS,2012,,24-Jan-2012,93.8 m,20 m,,6.5 m,,
Olympic Taurus,,Olympic Shipping AS,Olympic Shipping AS,Cable Installation,Multi purpose,DNV GL ✠ 1A1  Supply Vessel SF| EO| DynPos AUTR| Clean| Comf-V (3)| Naut-OSV (A)| Ice B (hull only)| SPS| DK(+)| HL(2.5)| LFL* Oil recovery acc,,Yes,,Norway,NO,Kleven Verft,2012,,20-Nov-2012,93.8 m,20 m,,6.5 m,,
Pierre de Fermat,,Orange Marine,Orange Marine,Cable Installation,Cable laying vessel,BV I ✠ AUT - IMS| ICE CLASS IC| COMF-NOISE 2| CONF-VIB 3| DPS-2/FMEA,45 days,No,,France,RO,VARD Braila,2014,,Aug-2014,100.1 m,21.5 m,,7.1 m,,
Pontra Maris,,Stemat Marine Services BV,VBMS BV,Cable Installation,Cable lay barge,BV I ✠ Hull * Mach,,No,,Netherlands,NL,Verolme Scheepswerf Heusden,1970,,1970,70 m,23.8 m,1.3 m,3.09 m,,
Rabljanka,,Tanker d.d.,Tanker d.d.,Cable Installation,Multi purpose,,,No,,,,,1995,,1955,30.23 m,14.1 m,,,,
